,期数,红球_1,红球_2,红球_3,红球_4,红球_5,红球_6,蓝球
732,19094,05,10,12,18,19,27,06
733,19093,05,07,08,09,20,22,02
734,19092,09,17,27,28,32,33,08
735,19091,07,10,21,24,29,32,11
736,19090,02,03,06,08,14,22,04
737,19089,02,04,14,16,20,22,11
738,19088,13,14,15,21,23,29,13
739,19087,04,05,07,09,21,30,04
740,19086,16,22,24,26,28,31,06
741,19085,01,04,14,18,24,29,04
742,19084,04,08,14,18,20,27,03
743,19083,06,15,17,26,28,31,03
744,19082,07,16,19,22,24,28,02
745,19081,05,24,27,29,31,32,10
746,19080,03,06,08,20,24,32,07
747,19079,01,03,06,09,19,31,16
748,19078,01,17,27,29,31,33,12
749,19077,09,11,13,18,21,22,15
750,19076,12,15,19,20,29,32,14
751,19075,05,08,20,22,31,33,03
752,19074,12,21,27,29,31,33,04
753,19073,01,02,06,12,16,18,08
754,19072,02,09,13,15,22,30,15
755,19071,01,08,19,24,29,30,04
756,19070,06,15,18,19,24,32,09
757,19069,06,11,16,19,21,25,01
758,19068,03,14,20,24,26,33,10
759,19067,04,06,08,11,30,33,11
760,19066,01,14,17,20,22,32,04
761,19065,06,09,11,15,20,26,10
762,19064,12,20,24,25,30,33,12
763,19063,01,14,19,22,29,31,16
764,19062,07,13,16,23,26,30,01
765,19061,03,17,19,24,27,31,12
766,19060,03,04,14,20,23,27,01
767,19059,04,05,07,09,16,18,06
768,19058,07,08,12,21,23,27,12
769,19057,04,05,06,08,13,18,16
770,19056,13,14,17,19,21,29,01
771,19055,01,06,11,15,19,31,10
772,19054,07,10,11,15,24,26,11
773,19053,04,16,22,25,29,31,08
774,19052,03,06,09,13,16,19,16
775,19051,08,09,10,13,15,28,09
776,19050,04,06,10,11,21,23,02
777,19049,03,10,13,22,23,28,15
778,19048,03,07,10,12,18,29,10
779,19047,03,11,18,25,30,33,14
780,19046,02,12,16,22,25,32,06
781,19045,01,06,17,19,27,31,14
782,19044,06,14,16,17,23,29,07
783,19043,01,06,12,13,24,32,13
784,19042,15,17,19,22,25,26,04
785,19041,02,09,13,23,24,26,16
786,19040,05,06,09,18,23,31,11
787,19039,06,07,11,14,27,32,08
788,19038,09,12,21,27,29,30,05
789,19037,01,07,12,14,18,25,10
790,19036,02,10,13,16,23,32,08
791,19035,01,05,07,09,10,20,16
792,19034,09,11,15,22,24,26,03
793,19033,09,15,19,21,23,29,15
794,19032,04,08,09,13,28,33,04
795,19031,03,13,15,18,21,33,16
796,19030,04,05,07,10,12,22,16
797,19029,08,11,17,23,32,33,10
798,19028,04,19,22,26,29,30,11
799,19027,02,06,08,10,11,17,13
800,19026,03,13,15,19,20,27,14
801,19025,15,16,21,27,30,33,04
802,19024,01,08,23,25,28,29,10
803,19023,01,10,14,15,18,31,13
804,19022,03,07,11,21,30,33,07
805,19021,02,05,07,08,20,27,04
806,19020,02,12,13,23,27,28,12
807,19019,03,11,17,18,24,25,06
808,19018,04,11,18,19,26,32,04
809,19017,04,05,24,28,30,33,09
810,19016,05,07,09,11,19,25,05
811,19015,11,15,16,20,24,31,04
812,19014,01,02,03,14,19,33,03
813,19013,05,07,14,16,18,21,01
814,19012,07,10,21,23,31,33,14
815,19011,10,13,19,21,24,30,07
816,19010,02,04,05,08,11,30,02
817,19009,01,07,10,22,31,32,15
818,19008,02,06,09,13,28,32,12
819,19007,06,10,14,15,19,23,15
820,19006,01,05,10,19,26,28,12
821,19005,21,22,26,28,31,32,07
822,19004,08,12,16,19,26,32,03
823,19003,13,17,20,21,22,27,01
824,19002,04,05,06,08,09,18,11
825,19001,06,10,13,15,32,33,15
826,18153,01,07,17,23,25,31,11
827,18152,04,14,16,23,28,29,03
828,18151,05,15,19,25,26,29,15
829,18150,06,08,15,19,20,31,05
830,18149,01,07,08,10,12,24,01
831,18148,03,06,18,19,21,31,01
832,18147,03,15,17,23,27,30,11
833,18146,02,10,11,17,18,29,16
834,18145,03,09,13,22,23,25,06
835,18144,08,13,17,18,20,27,13
836,18143,04,06,15,28,32,33,14
837,18142,05,08,10,11,27,28,11
838,18141,11,14,16,18,24,33,04
839,18140,01,15,20,22,25,28,14
840,18139,11,18,20,23,31,32,15
841,18138,01,10,25,27,30,32,09
842,18137,03,05,11,15,20,23,09
843,18136,10,12,15,25,26,27,14
844,18135,01,03,06,10,11,29,16
845,18134,03,16,18,31,32,33,12
846,18133,02,04,11,12,18,32,13
847,18132,01,02,09,10,15,22,06
848,18131,21,22,24,31,32,33,01
849,18130,05,12,17,18,24,28,12
850,18129,02,04,06,16,18,19,16
851,18128,06,07,08,19,22,23,02
852,18127,02,05,06,07,11,15,12
853,18126,01,06,08,09,14,22,05
854,18125,03,10,11,14,15,32,02
855,18124,09,13,14,19,22,25,02
856,18123,13,21,24,27,31,32,01
857,18122,05,07,20,22,30,32,10
858,18121,06,08,14,19,23,25,11
859,18120,03,04,18,26,27,33,01
860,18119,03,13,14,16,25,27,12
861,18118,08,12,21,22,27,31,09
862,18117,08,11,15,17,23,25,05
863,18116,05,14,17,22,23,28,15
864,18115,01,13,19,24,26,29,11
865,18114,01,07,15,16,20,27,14
866,18113,01,06,09,16,25,26,09
867,18112,05,08,18,25,26,31,04
868,18111,01,07,14,24,25,28,08
869,18110,11,13,16,21,22,23,02
870,18109,10,11,18,23,31,33,15
871,18108,05,13,18,21,26,30,02
872,18107,01,02,05,12,20,22,01
873,18106,04,18,19,24,25,26,10
874,18105,04,05,13,18,19,25,01
875,18104,02,03,06,19,25,29,01
876,18103,02,09,15,22,23,24,16
877,18102,02,06,11,19,21,28,05
878,18101,01,03,14,26,29,33,09
879,18100,02,11,14,15,29,33,02
880,18099,03,07,08,14,25,32,06
881,18098,06,10,11,20,29,32,13
882,18097,01,02,17,20,25,28,13
883,18096,01,05,09,20,28,32,12
884,18095,10,11,12,21,26,33,09
885,18094,04,07,16,20,24,30,05
886,18093,04,18,20,21,29,33,07
887,18092,06,10,16,19,24,33,16
888,18091,06,11,13,17,25,32,07
889,18090,01,02,04,10,14,23,07
890,18089,06,09,12,14,18,27,14
891,18088,03,05,12,29,30,32,14
892,18087,01,05,10,16,18,31,03
893,18086,02,07,17,21,23,26,16
894,18085,04,10,25,26,30,33,06
895,18084,05,06,08,12,22,24,03
896,18083,04,09,18,21,32,33,03
897,18082,06,12,14,20,22,24,09
898,18081,01,02,12,16,20,26,03
899,18080,04,07,13,20,29,33,03
900,18079,14,15,17,22,24,29,13
901,18078,03,10,14,17,18,30,12
902,18077,02,05,09,15,20,24,10
903,18076,03,07,08,15,29,30,13
904,18075,07,09,12,13,22,24,11
905,18074,09,11,14,20,27,30,09
906,18073,02,09,14,15,16,23,10
907,18072,11,16,19,22,25,30,08
908,18071,02,05,06,13,16,19,03
909,18070,04,09,15,16,19,27,10
910,18069,06,13,17,19,23,31,12
911,18068,08,10,17,20,27,30,01
912,18067,01,04,09,12,15,18,05
913,18066,09,16,17,19,22,26,10
914,18065,01,04,06,14,28,33,01
915,18064,02,05,10,11,17,21,05
916,18063,05,06,10,16,20,25,12
917,18062,02,18,19,24,25,33,11
918,18061,09,10,11,12,18,23,07
919,18060,04,08,13,25,30,31,10
920,18059,04,06,08,13,22,32,11
921,18058,07,12,13,16,26,31,07
922,18057,05,15,17,19,20,30,13
923,18056,01,03,06,20,21,26,01
924,18055,07,09,10,12,22,26,07
925,18054,04,06,18,22,25,33,16
926,18053,01,04,10,11,14,27,06
927,18052,03,05,06,09,15,32,14
928,18051,05,07,20,23,27,31,04
929,18050,01,02,04,10,18,19,07
930,18049,01,03,04,11,19,23,02
931,18048,01,12,20,25,30,31,02
932,18047,06,07,12,16,22,25,07
933,18046,10,13,14,18,20,31,03
934,18045,03,04,06,25,26,30,01
935,18044,05,09,12,17,27,30,06
936,18043,01,04,06,08,21,24,07
937,18042,06,10,21,28,29,31,12
938,18041,07,08,20,23,24,32,13
939,18040,01,03,08,13,18,23,16
940,18039,08,12,18,19,23,32,03
941,18038,15,23,24,25,28,29,09
942,18037,01,06,07,08,27,30,10
943,18036,08,17,24,26,28,33,04
944,18035,07,10,11,17,23,28,15
945,18034,01,05,11,22,23,26,15
946,18033,04,19,20,22,28,33,06
947,18032,21,22,23,24,25,32,06
948,18031,02,16,18,19,27,30,14
949,18030,13,14,20,21,25,33,07
950,18029,01,02,09,14,22,25,05
951,18028,03,08,11,14,18,23,16
952,18027,02,07,09,14,18,28,05
953,18026,04,07,12,14,26,32,04
954,18025,04,13,16,19,21,25,14
955,18024,11,19,22,26,31,32,02
956,18023,12,15,16,21,26,29,16
957,18022,07,14,19,21,22,23,03
958,18021,03,04,06,11,23,28,14
959,18020,06,09,10,14,28,30,05
960,18019,03,11,12,16,21,23,09
961,18018,02,12,13,18,25,27,07
962,18017,03,06,11,26,30,32,12
963,18016,01,11,12,18,25,27,16
964,18015,11,15,20,21,26,33,15
965,18014,09,12,20,24,28,31,07
966,18013,06,08,13,15,22,33,06
967,18012,11,12,13,19,26,28,12
968,18011,03,10,21,23,27,33,11
969,18010,01,08,17,20,21,22,03
970,18009,05,10,17,23,26,32,07
971,18008,05,09,10,12,17,19,13
972,18007,13,14,20,25,27,31,12
973,18006,02,07,08,09,17,29,11
974,18005,02,20,21,28,31,33,06
975,18004,14,18,19,26,30,31,11
976,18003,01,14,16,17,20,31,04
977,18002,07,18,24,29,31,33,16
978,18001,01,08,11,26,28,31,04
979,17154,05,09,13,15,18,26,05
980,17153,07,11,12,13,18,19,16
981,17152,06,10,23,25,26,29,05
982,17151,02,05,07,09,11,27,16
983,17150,06,14,19,20,21,23,08
984,17149,05,08,15,20,27,30,13
985,17148,04,07,11,14,29,32,12
986,17147,03,07,20,21,25,31,14
987,17146,01,19,25,26,27,33,10
988,17145,02,06,12,17,25,28,12
989,17144,03,14,16,20,31,32,09
990,17143,04,06,09,14,20,29,14
991,17142,08,13,14,18,23,33,06
992,17141,01,06,07,11,13,15,05
993,17140,21,22,25,28,29,30,08
994,17139,02,14,20,24,28,32,16
995,17138,01,17,24,28,32,33,02
996,17137,05,10,20,23,26,31,03
997,17136,03,07,10,18,21,24,12
998,17135,01,06,07,14,18,26,16
999,17134,04,05,11,14,28,32,04
1000,17133,06,15,17,18,23,30,11
1001,17132,02,03,05,09,13,28,11
1002,17131,01,07,10,11,26,27,11
1003,17130,05,13,14,23,25,31,02
1004,17129,05,06,09,14,21,33,02
1005,17128,02,06,13,22,29,31,08
1006,17127,14,15,21,24,27,32,12
1007,17126,01,16,17,21,27,30,16
1008,17125,01,14,23,25,29,30,03
1009,17124,02,06,11,26,28,29,03
1010,17123,04,05,06,11,21,31,10
1011,17122,11,20,21,22,24,27,15
1012,17121,11,18,19,22,24,32,07
1013,17120,08,10,15,19,23,28,16
1014,17119,09,16,21,25,26,31,14
1015,17118,08,09,15,22,30,33,16
1016,17117,01,02,08,11,14,21,09
1017,17116,02,14,20,22,30,32,02
1018,17115,04,10,11,25,30,31,01
1019,17114,06,12,13,15,18,26,13
1020,17113,04,06,16,27,29,33,05
1021,17112,03,10,14,16,22,23,11
1022,17111,05,10,17,19,29,32,12
1023,17110,01,03,12,15,19,23,14
1024,17109,08,14,16,18,21,23,16
1025,17108,07,12,14,15,17,20,01
1026,17107,08,09,15,17,30,32,06
1027,17106,12,15,20,25,27,31,02
1028,17105,03,06,07,12,25,26,07
1029,17104,01,14,15,20,23,30,14
1030,17103,01,21,23,25,31,33,01
1031,17102,04,08,10,14,18,20,11
1032,17101,01,04,11,28,31,32,16
1033,17100,04,07,08,18,23,24,02
1034,17099,02,05,06,16,28,29,04
1035,17098,04,19,22,27,30,33,01
1036,17097,05,10,18,19,30,31,03
1037,17096,02,06,11,12,19,29,06
1038,17095,09,10,12,19,22,29,16
1039,17094,08,11,13,19,28,31,06
1040,17093,07,08,09,15,22,27,12
1041,17092,10,18,19,29,32,33,09
1042,17091,05,07,10,23,28,29,03
1043,17090,01,07,10,16,22,33,09
1044,17089,11,12,13,16,23,25,12
1045,17088,07,09,18,22,23,29,06
1046,17087,03,06,13,14,19,28,06
1047,17086,03,05,06,13,20,22,07
1048,17085,01,05,06,16,25,30,09
1049,17084,01,05,11,20,22,24,02
1050,17083,03,08,14,20,24,26,12
1051,17082,14,18,21,25,28,29,10
1052,17081,03,05,14,25,26,30,05
1053,17080,01,12,16,20,22,24,08
1054,17079,03,07,14,23,25,27,08
1055,17078,05,07,18,19,22,24,16
1056,17077,01,02,04,15,17,22,14
1057,17076,01,04,08,09,14,15,13
1058,17075,01,03,06,19,21,29,07
1059,17074,02,06,16,23,30,31,02
1060,17073,03,06,16,23,26,30,14
1061,17072,06,11,14,23,26,30,02
1062,17071,02,03,06,14,31,32,03
1063,17070,01,06,14,22,25,26,12
1064,17069,02,11,12,23,29,31,05
1065,17068,02,06,10,22,30,31,15
1066,17067,01,03,04,10,18,29,04
1067,17066,01,04,06,17,19,26,03
1068,17065,02,05,08,10,12,21,07
1069,17064,02,10,16,22,24,28,15
1070,17063,12,16,20,22,25,31,04
1071,17062,01,07,22,24,26,31,10
1072,17061,06,07,12,20,26,27,11
1073,17060,05,10,13,24,26,31,04
1074,17059,04,08,09,15,19,25,09
1075,17058,01,09,13,22,28,32,11
1076,17057,18,20,22,23,30,31,16
1077,17056,13,14,18,19,21,28,06
1078,17055,07,12,13,20,24,31,05
1079,17054,02,03,09,23,28,33,08
1080,17053,04,09,11,15,29,31,06
1081,17052,07,08,18,24,29,31,07
1082,17051,02,05,09,15,24,25,11
1083,17050,10,12,20,24,27,29,07
1084,17049,01,08,14,15,20,29,10
1085,17048,05,08,09,14,15,19,07
1086,17047,02,05,08,10,32,33,02
1087,17046,04,13,14,23,26,32,10
1088,17045,05,07,16,20,21,25,05
1089,17044,08,16,19,21,31,32,06
1090,17043,08,13,16,23,27,31,08
1091,17042,01,02,04,07,10,23,04
1092,17041,04,10,13,15,22,27,04
1093,17040,15,19,23,28,29,33,04
1094,17039,02,04,12,14,17,24,15
1095,17038,01,04,08,13,24,27,05
1096,17037,11,15,20,22,25,30,05
1097,17036,01,02,05,10,24,27,15
1098,17035,01,06,14,24,28,32,12
1099,17034,04,07,08,19,32,33,13
1100,17033,05,07,15,20,23,30,15
1101,17032,05,08,15,24,27,31,11
1102,17031,06,10,16,26,27,29,03
1103,17030,01,07,09,20,23,30,02
1104,17029,02,15,21,23,25,30,10
1105,17028,07,08,12,13,22,30,09
1106,17027,02,04,11,14,27,30,05
1107,17026,03,10,12,19,27,30,08
1108,17025,02,15,16,17,22,32,07
1109,17024,09,21,25,26,29,31,13
1110,17023,01,03,04,11,18,22,14
1111,17022,02,06,15,16,18,32,15
1112,17021,02,05,10,22,32,33,09
1113,17020,04,08,10,12,31,33,10
1114,17019,04,06,08,12,23,25,08
1115,17018,01,02,03,17,25,31,09
1116,17017,03,07,08,10,22,23,12
1117,17016,05,08,16,22,27,29,02
1118,17015,01,08,09,14,17,32,01
1119,17014,06,08,18,20,23,31,13
1120,17013,08,11,28,29,31,33,06
1121,17012,10,11,14,15,16,24,07
1122,17011,10,11,12,23,26,29,16
1123,17010,05,08,19,25,28,30,07
1124,17009,02,06,08,09,15,29,14
1125,17008,07,13,15,27,28,29,13
1126,17007,02,04,05,24,26,33,15
1127,17006,02,04,08,26,29,33,08
1128,17005,06,11,12,22,23,30,05
1129,17004,05,13,17,26,27,30,07
1130,17003,01,04,08,15,27,32,16
1131,17002,15,19,23,24,25,32,03
1132,17001,09,11,14,20,25,26,15
1133,16153,07,09,16,24,25,29,06
1134,16152,02,08,09,16,20,22,07
1135,16151,06,11,16,20,22,33,07
1136,16150,02,04,05,09,13,21,05
1137,16149,03,20,23,26,32,33,07
1138,16148,01,02,11,20,26,30,14
1139,16147,04,14,18,28,31,32,12
1140,16146,03,07,15,16,17,23,10
1141,16145,01,03,07,12,19,20,06
1142,16144,04,10,12,27,32,33,05
1143,16143,06,09,23,24,25,33,13
1144,16142,01,10,17,21,23,30,12
1145,16141,04,13,15,17,21,24,15
1146,16140,01,02,05,17,26,32,10
1147,16139,01,06,19,26,28,30,03
1148,16138,07,16,20,24,25,30,07
1149,16137,01,06,09,10,15,32,14
1150,16136,02,07,10,20,27,29,03
1151,16135,02,08,10,18,20,33,12
1152,16134,11,12,13,14,18,33,13
1153,16133,15,16,21,22,27,33,15
1154,16132,05,08,13,19,27,28,07
1155,16131,04,10,18,19,25,27,02
1156,16130,03,17,21,23,27,28,01
1157,16129,05,06,08,21,31,33,14
1158,16128,04,09,11,17,26,27,13
1159,16127,07,12,17,26,29,31,16
1160,16126,02,06,12,17,18,19,10
1161,16125,01,06,08,20,27,30,03
1162,16124,09,15,21,24,27,32,10
1163,16123,07,09,12,14,20,27,16
1164,16122,15,22,23,24,28,29,08
1165,16121,02,03,10,23,25,28,09
1166,16120,02,05,06,21,25,28,09
1167,16119,09,19,21,30,31,32,04
1168,16118,09,14,22,23,31,33,14
1169,16117,03,10,14,17,28,33,02
1170,16116,07,18,20,23,27,31,13
1171,16115,06,08,20,22,26,27,09
1172,16114,05,16,20,22,27,29,09
1173,16113,01,11,16,17,20,26,14
1174,16112,06,12,14,15,18,25,12
1175,16111,02,04,07,14,15,32,04
1176,16110,05,07,28,31,32,33,08
1177,16109,09,11,15,16,27,33,05
1178,16108,02,03,07,08,19,26,16
1179,16107,06,11,18,26,27,32,01
1180,16106,04,05,13,22,25,30,04
1181,16105,08,10,19,27,28,31,16
1182,16104,05,09,11,18,30,31,04
1183,16103,01,05,13,19,24,27,11
1184,16102,05,08,10,14,17,30,13
1185,16101,01,03,19,24,32,33,01
1186,16100,03,10,22,23,27,29,04
1187,16099,01,11,21,23,27,33,06
1188,16098,02,08,25,29,31,32,06
1189,16097,06,13,25,26,28,31,01
1190,16096,06,13,14,21,22,24,16
1191,16095,01,05,09,12,18,32,12
1192,16094,06,07,10,12,18,31,10
1193,16093,06,09,15,17,25,27,09
1194,16092,02,13,15,23,24,29,06
1195,16091,04,08,14,22,23,28,07
1196,16090,02,13,17,20,21,26,07
1197,16089,01,03,14,30,31,32,08
1198,16088,03,14,16,18,25,33,15
1199,16087,02,03,10,11,14,21,12
1200,16086,09,10,11,12,15,32,05
1201,16085,01,12,19,20,21,25,16
1202,16084,02,04,12,18,24,26,05
1203,16083,09,16,17,24,30,31,04
1204,16082,06,12,14,15,17,20,09
1205,16081,02,06,15,25,30,32,07
1206,16080,01,16,17,24,25,32,14
1207,16079,01,03,10,12,24,28,02
1208,16078,02,04,08,23,26,29,02
1209,16077,01,09,17,19,20,29,10
1210,16076,07,08,13,22,30,32,01
1211,16075,01,03,06,16,29,32,07
1212,16074,06,10,11,12,20,25,12
1213,16073,09,11,12,15,16,20,13
1214,16072,05,16,19,22,24,25,02
1215,16071,19,21,26,28,29,32,01
1216,16070,03,06,11,18,23,29,01
1217,16069,08,10,11,20,21,27,11
1218,16068,08,19,23,28,31,32,01
1219,16067,09,13,18,20,27,31,04
1220,16066,03,07,13,18,19,20,05
1221,16065,13,16,22,25,26,27,14
1222,16064,03,12,14,17,19,26,03
1223,16063,16,17,18,23,28,32,07
1224,16062,12,13,15,18,19,21,09
1225,16061,05,06,08,18,20,32,08
1226,16060,04,05,22,26,29,32,08
1227,16059,04,11,12,20,25,28,15
1228,16058,03,05,18,20,24,32,11
1229,16057,07,12,19,22,23,26,11
1230,16056,03,04,08,11,16,18,14
1231,16055,05,06,10,16,22,26,11
1232,16054,06,11,16,19,28,32,04
1233,16053,02,08,10,12,29,31,01
1234,16052,01,06,13,19,24,28,16
1235,16051,01,02,04,09,15,33,12
1236,16050,09,12,24,28,29,30,02
1237,16049,06,08,13,14,22,27,10
1238,16048,03,08,13,14,15,30,04
1239,16047,02,05,08,15,17,22,16
1240,16046,07,20,25,26,27,30,14
1241,16045,04,09,12,17,30,32,03
1242,16044,01,03,10,12,18,30,01
1243,16043,05,14,20,26,30,33,12
1244,16042,07,14,17,23,26,31,09
1245,16041,12,17,18,21,22,24,04
1246,16040,03,13,19,20,23,26,03
1247,16039,01,03,07,18,19,27,16
1248,16038,03,12,13,22,28,29,03
1249,16037,06,15,26,31,32,33,16
1250,16036,03,04,07,09,20,22,03
1251,16035,04,13,19,20,26,29,11
1252,16034,03,15,21,22,23,28,15
1253,16033,06,17,18,20,27,29,15
1254,16032,08,12,14,15,21,27,15
1255,16031,03,08,10,19,26,33,03
1256,16030,10,14,19,22,25,29,12
1257,16029,12,15,18,20,21,27,15
1258,16028,06,08,12,21,25,29,01
1259,16027,11,13,15,17,19,31,05
1260,16026,04,09,12,28,30,33,01
1261,16025,04,11,12,17,24,30,12
1262,16024,02,05,07,14,18,31,13
1263,16023,03,06,10,19,25,29,07
1264,16022,04,09,19,22,23,30,07
1265,16021,09,11,13,22,24,26,05
1266,16020,01,02,10,12,22,24,10
1267,16019,06,13,16,17,23,30,10
1268,16018,12,13,14,17,21,25,04
1269,16017,05,06,08,20,22,30,05
1270,16016,01,20,22,24,25,26,16
1271,16015,01,02,14,22,25,26,07
1272,16014,02,08,10,18,20,27,07
1273,16013,07,12,21,22,26,31,01
1274,16012,07,12,14,16,27,32,15
1275,16011,03,08,10,15,22,29,12
1276,16010,02,04,12,14,19,25,06
1277,16009,10,14,24,25,27,32,04
1278,16008,02,15,24,29,32,33,02
1279,16007,05,12,14,20,27,29,06
1280,16006,13,16,18,20,28,31,12
1281,16005,11,14,18,20,31,33,14
1282,16004,08,10,17,22,25,33,12
1283,16003,01,10,14,23,26,28,01
1284,16002,09,14,17,20,24,30,16
1285,16001,06,13,16,18,20,22,13
1286,15154,07,09,11,15,18,25,07
1287,15153,08,11,15,22,27,29,03
1288,15152,11,18,19,21,29,32,12
1289,15151,05,06,08,23,31,32,11
1290,15150,01,03,08,11,29,31,13
1291,15149,09,10,20,21,22,33,09
1292,15148,09,13,14,22,26,27,07
1293,15147,08,09,16,23,24,30,05
1294,15146,16,17,21,28,30,32,15
1295,15145,07,08,15,19,20,24,13
1296,15144,01,04,07,15,28,32,16
1297,15143,13,15,19,20,21,32,04
1298,15142,13,17,19,20,22,25,11
1299,15141,03,08,19,25,27,28,02
1300,15140,06,20,28,29,30,31,12
1301,15139,01,10,13,18,25,27,09
1302,15138,01,02,08,16,19,24,11
1303,15137,14,22,23,27,28,31,12
1304,15136,02,05,12,23,28,29,01
1305,15135,01,12,14,18,26,32,07
1306,15134,02,05,14,19,27,31,04
1307,15133,02,03,13,20,22,24,15
1308,15132,03,05,11,28,30,33,01
1309,15131,10,12,13,19,22,26,03
1310,15130,06,14,15,16,17,22,10
1311,15129,05,08,11,16,18,27,04
1312,15128,01,03,08,11,22,28,06
1313,15127,07,10,19,22,27,33,06
1314,15126,10,11,15,20,23,29,12
1315,15125,05,13,22,27,30,33,10
1316,15124,02,03,05,12,18,27,01
1317,15123,05,08,09,12,22,28,07
1318,15122,05,07,11,16,22,25,07
1319,15121,01,03,20,21,28,29,12
1320,15120,16,21,24,26,27,29,16
1321,15119,02,08,10,18,23,31,08
1322,15118,01,04,11,21,23,31,12
1323,15117,04,11,12,18,26,32,12
1324,15116,04,06,15,23,26,28,11
1325,15115,01,07,08,14,24,32,03
1326,15114,04,07,09,13,21,26,01
1327,15113,01,05,07,08,19,27,12
1328,15112,01,03,10,19,20,27,11
1329,15111,08,14,16,18,20,30,12
1330,15110,05,07,16,17,22,23,04
1331,15109,01,08,09,16,32,33,13
1332,15108,02,12,19,22,24,27,15
1333,15107,07,14,16,18,21,25,08
1334,15106,01,03,04,23,31,32,13
1335,15105,09,10,16,19,20,26,12
1336,15104,09,18,21,23,25,26,01
1337,15103,06,08,13,26,30,32,14
1338,15102,07,09,12,14,21,23,06
1339,15101,08,16,22,24,28,29,05
1340,15100,02,03,11,17,19,21,08
1341,15099,06,07,10,11,14,22,09
1342,15098,06,09,13,26,27,33,01
1343,15097,09,12,14,20,26,27,04
1344,15096,06,16,17,23,24,31,07
1345,15095,04,15,21,28,30,31,04
1346,15094,01,04,06,13,16,17,10
1347,15093,01,03,13,21,25,31,08
1348,15092,09,15,19,21,26,27,01
1349,15091,05,07,17,19,22,31,11
1350,15090,10,12,14,22,25,33,15
1351,15089,12,14,19,27,28,29,01
1352,15088,02,12,20,24,29,31,09
1353,15087,09,15,16,19,20,28,11
1354,15086,05,06,08,16,18,22,12
1355,15085,02,08,25,27,28,29,05
1356,15084,15,18,20,22,28,29,15
1357,15083,06,07,16,18,29,32,05
1358,15082,02,08,09,14,28,30,07
1359,15081,13,20,22,26,28,31,13
1360,15080,14,17,25,27,28,30,02
1361,15079,09,14,15,20,26,32,11
1362,15078,03,07,20,22,26,29,02
1363,15077,01,06,08,10,13,27,16
1364,15076,01,09,10,19,23,27,09
1365,15075,06,11,13,19,21,32,04
1366,15074,04,07,21,25,26,29,08
1367,15073,01,02,17,22,26,27,04
1368,15072,01,03,05,20,21,31,05
1369,15071,08,18,20,28,29,31,08
1370,15070,01,07,13,19,21,29,15
1371,15069,01,13,17,18,23,30,15
1372,15068,06,15,18,21,26,27,10
1373,15067,02,05,08,24,25,31,14
1374,15066,05,08,11,17,24,28,16
1375,15065,08,10,14,19,26,29,12
1376,15064,11,12,14,17,23,27,01
1377,15063,01,07,09,16,22,32,12
1378,15062,09,14,15,18,21,26,16
1379,15061,06,18,22,26,32,33,04
1380,15060,01,03,18,27,31,32,13
1381,15059,02,06,09,16,25,32,14
1382,15058,02,09,10,18,19,20,15
1383,15057,09,20,24,25,26,32,04
1384,15056,01,07,08,16,18,20,14
1385,15055,01,10,15,18,19,28,02
1386,15054,01,02,07,10,22,26,07
1387,15053,03,07,17,22,32,33,10
1388,15052,02,04,11,16,25,26,12
1389,15051,04,10,24,26,28,32,09
1390,15050,03,09,12,16,17,31,04
1391,15049,07,12,14,17,20,23,05
1392,15048,13,16,17,22,25,27,10
1393,15047,02,03,20,24,26,27,09
1394,15046,05,07,10,14,23,31,01
1395,15045,01,05,13,22,30,31,07
1396,15044,02,03,04,13,14,16,02
1397,15043,11,12,15,24,26,27,15
1398,15042,09,10,19,21,23,32,08
1399,15041,04,09,11,17,21,25,06
1400,15040,13,16,18,27,30,32,16
1401,15039,01,13,15,26,29,30,12
1402,15038,05,06,11,12,14,33,14
1403,15037,05,07,12,18,28,31,03
1404,15036,04,06,16,17,26,33,03
1405,15035,01,08,09,22,24,33,03
1406,15034,12,13,17,18,20,27,13
1407,15033,03,06,21,29,31,32,05
1408,15032,11,14,16,18,29,32,16
1409,15031,01,05,07,22,26,32,11
1410,15030,08,11,14,15,16,26,07
1411,15029,07,14,15,19,21,28,07
1412,15028,04,07,10,26,27,28,14
1413,15027,05,07,09,16,26,29,07
1414,15026,02,13,17,21,22,33,13
1415,15025,10,11,12,15,27,32,14
1416,15024,09,11,16,18,23,24,10
1417,15023,08,09,10,13,29,30,01
1418,15022,04,07,10,16,23,25,10
1419,15021,14,15,16,17,27,28,08
1420,15020,01,04,07,19,22,23,04
1421,15019,02,06,11,19,25,26,04
1422,15018,06,09,12,14,28,29,09
1423,15017,13,18,20,25,27,33,12
1424,15016,02,06,10,15,17,31,13
1425,15015,01,07,20,24,25,33,04
1426,15014,02,12,16,19,27,30,11
1427,15013,08,09,24,25,26,29,01
1428,15012,03,05,22,23,29,31,06
1429,15011,04,14,15,17,18,20,15
1430,15010,01,02,03,08,21,31,09
1431,15009,04,07,14,17,21,25,14
1432,15008,04,07,10,16,20,22,03
1433,15007,01,07,09,17,20,33,08
1434,15006,01,10,11,29,31,33,13
1435,15005,07,10,16,17,18,32,15
1436,15004,02,14,15,16,23,24,10
1437,15003,10,15,20,23,24,31,15
1438,15002,07,15,16,25,28,32,05
1439,15001,01,07,09,16,20,23,06
1440,14152,08,13,15,20,21,25,12
1441,14151,04,05,08,11,21,27,08
1442,14150,03,08,14,22,24,32,09
